,X,Dep,Number,Dep_n,logR_n
0,7.0,16.39,0,0.7245269878119559,0.4720497137695195
1,9.0,16.49,0,0.7303888566453859,0.45894179710842636
2,9.0,15.489999999999998,1,0.6717701683110852,0.4751342469541668
3,11.0,16.54,0,0.7333197910621008,0.4979114593266006
4,11.0,15.54,1,0.6747011027278002,0.49678395318241164
5,13.0,16.64,0,0.739181659895531,0.5093460529141984
6,13.0,15.64,1,0.6805629715612304,0.5266149924105661
7,13.0,14.64,2,0.6219442832269297,0.5445372046968654
8,15.0,16.74,0,0.745043528728961,0.5183151275163393
9,15.0,15.739999999999998,1,0.6864248403946603,0.5414601118118126
10,15.0,14.739999999999998,2,0.6278061520603597,0.555376316969698
11,15.0,13.739999999999998,3,0.569187463726059,0.5565947447054914
12,17.0,16.81,0,0.7491468369123621,0.5159798449256832
13,17.0,15.809999999999999,1,0.6905281485780613,0.5325377352308895
14,17.0,14.809999999999999,2,0.6319094602437607,0.5536339272765973
15,17.0,13.809999999999999,3,0.5732907719094601,0.5679661859870581
16,19.0,16.81,0,0.7491468369123621,0.532879482112913
17,19.0,15.809999999999999,1,0.6905281485780613,0.5518413046724087
18,19.0,14.809999999999999,2,0.6319094602437607,0.5707968985901946
19,19.0,13.809999999999999,3,0.5732907719094601,0.5899424590275523
20,19.0,12.809999999999999,4,0.5146720835751594,0.6203510778699954
21,21.0,16.79,0,0.7479744631456761,0.5878992144707842
22,21.0,15.79,1,0.6893557748113754,0.6005984798336912
23,21.0,14.79,2,0.6307370864770747,0.6127785858839913
24,21.0,13.79,3,0.5721183981427741,0.6561367847886913
25,21.0,12.79,4,0.5134997098084735,0.6561367847886913
26,21.0,11.79,5,0.4548810214741728,0.7002557274536119
27,23.0,16.84,0,0.750905397562391,0.5877850768700145
28,23.0,15.84,1,0.6922867092280905,0.5848809069681666
29,23.0,14.84,2,0.6336680208937898,0.57912672721523
30,23.0,13.84,3,0.5750493325594892,0.678717410136228
31,23.0,12.84,4,0.5164306442251886,0.6968050517449653
32,23.0,11.84,5,0.4578119558908879,0.7099419575812422
33,25.0,17.08,0,0.7649738827626232,0.6349072422921043
34,25.0,16.08,1,0.7063551944283225,0.6223010814651176
35,25.0,15.079999999999998,2,0.6477365060940219,0.6219340812094736
36,25.0,14.079999999999998,3,0.5891178177597213,0.683450355518472
37,25.0,13.079999999999998,4,0.5304991294254207,0.7198180077363503
38,25.0,12.079999999999998,5,0.47188044109111993,0.7238302328704934
39,25.0,11.079999999999998,6,0.4132617527568193,0.6670827362382458
40,27.0,17.33,0,0.7796285548461983,0.5960711985108545
41,27.0,16.33,1,0.7210098665118977,0.5793453821151564
42,27.0,15.329999999999998,2,0.6623911781775971,0.5821217945047853
43,27.0,14.329999999999998,3,0.6037724898432963,0.6352591773883467
44,27.0,13.329999999999998,4,0.5451538015089957,0.6608853643413096
45,27.0,12.329999999999998,5,0.48653511317469517,0.6780102324423292
46,27.0,11.329999999999998,6,0.4279164248403945,0.5642444093087527
47,27.0,10.329999999999998,7,0.3692977365060938,0.5619061915678558
48,29.0,17.42,0,0.7849042367962855,0.6871639749858527
49,29.0,16.42,1,0.7262855484619849,0.6765449652715934
50,29.0,15.420000000000002,2,0.6676668601276843,0.6643045054327724
51,29.0,14.420000000000002,3,0.6090481717933836,0.6068100006902568
52,29.0,13.420000000000002,4,0.550429483459083,0.5397242533248436
53,29.0,12.420000000000002,5,0.4918107951247824,0.5346554711139823
54,29.0,11.420000000000002,6,0.43319210679048176,0.3605518314239841
55,29.0,10.420000000000002,7,0.37457341845618114,0.4006898015020807
56,29.0,9.420000000000002,8,0.31595473012188047,0.40169297248348634
57,31.0,17.52,0,0.7907661056297155,0.7223552262033128
58,31.0,16.52,1,0.7321474172954149,0.7061192562929963
59,31.0,15.52,2,0.6735287289611143,0.5561630180467123
60,31.0,14.52,3,0.6149100406268135,0.30677180256401315
61,31.0,13.52,4,0.5562913522925129,0.19211559299085929
62,31.0,12.52,5,0.4976726639582123,0.293434866884005
63,31.0,11.52,6,0.4390539756239117,0.16315076034248496
64,31.0,10.52,7,0.380435287289611,0.19162519696809924
65,31.0,9.52,8,0.32181659895531045,0.19252905180960433
66,31.0,8.52,9,0.2631979106210098,0.2486992281900647
67,33.0,17.72,0,0.8024898432965756,0.7999015457434534
68,33.0,16.72,1,0.743871154962275,0.7493966071950346
69,33.0,15.719999999999999,2,0.6852524666279743,0.4050698207361364
70,33.0,14.719999999999999,3,0.6266337782936737,0.12139256291997524
71,33.0,13.719999999999999,4,0.5680150899593731,0.0
72,33.0,12.719999999999999,5,0.5093964016250724,0.011468518931115137
73,33.0,11.719999999999999,6,0.45077771329077176,0.17238240513536482
74,33.0,10.719999999999999,7,0.39215902495647115,0.10335416479723364
75,33.0,9.719999999999999,8,0.3335403366221705,0.15064422914149478
76,33.0,8.719999999999999,9,0.27492164828786986,0.1832238664961802
77,35.0,17.96,0,0.8165583284968079,0.8329455249978442
78,35.0,16.96,1,0.7579396401625071,0.755512558500702
79,35.0,15.96,2,0.6993209518282066,0.7366736464653082
80,35.0,14.96,3,0.640702263493906,0.5836885231293029
81,35.0,13.96,4,0.5820835751596053,0.4130989816397466
82,35.0,12.96,5,0.5234648868253047,0.32800136941701374
83,35.0,11.96,6,0.46484619849100406,0.29269384687119643
84,35.0,10.96,7,0.4062275101567034,0.2666369970260558
85,35.0,9.96,8,0.34760882182240277,0.23284438711908115
86,35.0,8.96,9,0.28899013348810215,0.19060051707956158
87,35.0,7.960000000000001,10,0.2303714451538015,0.23736130620689147
88,37.0,18.24,0,0.8329715612304119,0.7337654508626681
89,37.0,17.24,1,0.7743528728961112,0.7504647935913956
90,37.0,16.24,2,0.7157341845618106,0.7495730557955703
91,37.0,15.239999999999998,3,0.65711549622751,0.7351208930493562
92,37.0,14.239999999999998,4,0.5984968078932094,0.6922905585298335
93,37.0,13.239999999999998,5,0.5398781195589087,0.630735455583666
94,37.0,12.239999999999998,6,0.4812594312246081,0.5672825089810554
95,37.0,11.239999999999998,7,0.42264074289030745,0.4973671567535557
96,37.0,10.239999999999998,8,0.3640220545560068,0.43410002307322315
97,37.0,9.239999999999998,9,0.30540336622170616,0.44656352869801097
98,37.0,8.239999999999998,10,0.24678467788740552,0.3887455521565708
99,37.0,7.239999999999998,11,0.18816598955310487,0.3887455521565707
100,39.0,18.58,0,0.8529019152640741,0.7428789425822249
101,39.0,17.58,1,0.7942832269297735,0.7559167056810303
102,39.0,16.58,2,0.7356645385954729,0.7632290114953008
103,39.0,15.579999999999998,3,0.6770458502611721,0.7580896396801831
104,39.0,14.579999999999998,4,0.6184271619268715,0.7350726646261007
105,39.0,13.579999999999998,5,0.5598084735925709,0.6983218290613691
106,39.0,12.579999999999998,6,0.5011897852582703,0.6571615113191959
107,39.0,11.579999999999998,7,0.4425710969239696,0.6121391184738895
108,39.0,10.579999999999998,8,0.383952408589669,0.5630161076224562
109,39.0,9.579999999999998,9,0.3253337202553684,0.5671309162738284
110,39.0,8.579999999999998,10,0.2667150319210677,0.5133676772381875
111,39.0,7.579999999999998,11,0.2080963435867671,0.46778331468457474
112,39.0,6.579999999999998,12,0.14947765525246648,0.5335255046844634
113,41.0,18.81,0,0.8663842135809633,0.7996735105617834
114,41.0,17.81,1,0.8077655252466627,0.7976071628699714
115,41.0,16.81,2,0.7491468369123621,0.7872012455538958
116,41.0,15.809999999999999,3,0.6905281485780613,0.7356813678261558
117,41.0,14.809999999999999,4,0.6319094602437607,0.6505993858027638
118,41.0,13.809999999999999,5,0.5732907719094601,0.5940236199641524
119,41.0,12.809999999999999,6,0.5146720835751594,0.5860783713979796
120,41.0,11.809999999999999,7,0.4560533952408588,0.6004008272817596
121,41.0,10.809999999999999,8,0.3974347069065582,0.6048544431912174
122,41.0,9.809999999999999,9,0.3388160185722575,0.6363036361958079
123,41.0,8.809999999999999,10,0.2801973302379569,0.6064293601336613
124,41.0,7.809999999999999,11,0.22157864190365628,0.6624217206087579
125,41.0,6.809999999999999,12,0.16295995356935564,0.6580732659773779
126,41.0,5.809999999999999,13,0.10434126523505499,0.6580732659773779
127,43.0,19.0,0,0.8775217643644805,0.7577144489045045
128,43.0,18.0,1,0.8189030760301799,0.7443516148438685
129,43.0,17.0,2,0.7602843876958791,0.7131563586041337
130,43.0,16.0,3,0.7016656993615785,0.6534705896316737
131,43.0,15.0,4,0.6430470110272779,0.5561154166067384
132,43.0,14.0,5,0.5844283226929773,0.4919249151848999
133,43.0,13.0,6,0.5258096343586767,0.503083226094307
134,43.0,12.0,7,0.467190946024376,0.5446483906079619
135,43.0,11.0,8,0.4085722576900754,0.5946174993025461
136,43.0,10.0,9,0.34995356935577476,0.6427786637622426
137,43.0,9.0,10,0.2913348810214741,0.6583311146713575
138,43.0,8.0,11,0.23271619268717345,0.7261159946777317
139,43.0,7.0,12,0.17409750435287283,0.7385692134873697
140,43.0,6.0,13,0.1154788160185722,0.7408964903527623
141,43.0,5.0,14,0.05686012768427155,0.7584042656532131
142,45.0,19.05,0,0.8804526987811956,0.7221712787447765
143,45.0,18.05,1,0.821834010446895,0.7194896167739172
144,45.0,17.05,2,0.7632153221125942,0.6858560992142865
145,45.0,16.05,3,0.7045966337782936,0.6257612177416731
146,45.0,15.05,4,0.645977945443993,0.540004644979022
147,45.0,14.05,5,0.5873592571096923,0.47463596183365114
148,45.0,13.05,6,0.5287405687753917,0.44835953594157296
149,45.0,12.05,7,0.4701218804410911,0.5014170261051617
150,45.0,11.05,8,0.4115031921067904,0.5843431737499355
151,45.0,10.05,9,0.3528845037724898,0.6457117116410744
152,45.0,9.05,10,0.2942658154381892,0.6821173942584029
153,45.0,8.05,11,0.23564712710388855,0.7581380632210043
154,45.0,7.050000000000001,12,0.1770284387695879,0.7975778533128584
155,45.0,6.050000000000001,13,0.11840975043528726,0.7746750603317908
156,45.0,5.050000000000001,14,0.05979106210098663,0.8464200603973007
157,45.0,4.050000000000001,15,0.001172373766685988,0.8464200603973007
158,47.0,19.1,0,0.8833836331979107,0.6719145348779537
159,47.0,18.1,1,0.8247649448636101,0.6414119652196927
160,47.0,17.1,2,0.7661462565293093,0.6300861853998666
161,47.0,16.1,3,0.7075275681950087,0.6163513343502176
162,47.0,15.100000000000001,4,0.6489088798607081,0.5872241354741138
163,47.0,14.100000000000001,5,0.5902901915264074,0.5417969959997607
164,47.0,13.100000000000001,6,0.5316715031921068,0.48918500518124175
165,47.0,12.100000000000001,7,0.4730528148578062,0.49913002077989865
166,47.0,11.100000000000001,8,0.41443412652350553,0.5652800571297042
167,47.0,10.100000000000001,9,0.35581543818920486,0.6272907377502095
168,47.0,9.100000000000001,10,0.29719674985490424,0.6838481715706382
169,47.0,8.100000000000001,11,0.23857806152060362,0.7796291709957085
170,47.0,7.100000000000001,12,0.17995937318630295,0.8312921364559355
171,47.0,6.100000000000001,13,0.12134068485200235,0.8650320846669561
172,47.0,5.100000000000001,14,0.0627219965177017,0.9374119566897265
173,47.0,4.100000000000001,15,0.004103308183401062,0.9374119566897265
174,49.0,19.34,0,0.8974521183981428,0.7160395479657047
175,49.0,18.34,1,0.838833430063842,0.7084180900710003
176,49.0,17.34,2,0.7802147417295414,0.7074643225963193
177,49.0,16.34,3,0.7215960533952408,0.7116904339977522
178,49.0,15.34,4,0.6629773650609401,0.6959154605625191
179,49.0,14.34,5,0.6043586767266395,0.6455078026735716
180,49.0,13.34,6,0.5457399883923388,0.5651144643656877
181,49.0,12.34,7,0.4871213000580382,0.5053371643375112
182,49.0,11.34,8,0.4285026117237376,0.5169847947992336
183,49.0,10.34,9,0.36988392338943693,0.5408490939125579
184,49.0,9.34,10,0.31126523505513626,0.6519260464698498
185,49.0,8.34,11,0.2526465467208357,0.7127839070815896
186,49.0,7.34,12,0.19402785838653505,0.7918297671857861
187,49.0,6.34,13,0.13540917005223438,0.9191637371492521
188,49.0,5.34,14,0.07679048171793375,0.9770175886794138
189,49.0,4.34,15,0.01817179338363312,0.9882851204470307
190,51.0,19.53,0,0.90858966918166,0.7308165514887064
191,51.0,18.53,1,0.8499709808473592,0.7260305114003128
192,51.0,17.53,2,0.7913522925130586,0.7153989813538527
193,51.0,16.53,3,0.732733604178758,0.7116412936627655
194,51.0,15.530000000000001,4,0.6741149158444573,0.6878961529810996
195,51.0,14.530000000000001,5,0.6154962275101566,0.6552192557979903
196,51.0,13.530000000000001,6,0.556877539175856,0.5437949593281974
197,51.0,12.530000000000001,7,0.4982588508415554,0.4206329583370463
198,51.0,11.530000000000001,8,0.43964016250725474,0.43486941795431344
199,51.0,10.530000000000001,9,0.3810214741729542,0.4689455070612056
200,51.0,9.530000000000001,10,0.3224027858386535,0.589882370864772
201,51.0,8.530000000000001,11,0.2637840975043529,0.6659922679149115
202,51.0,7.530000000000001,12,0.20516540917005222,0.7584509169038303
203,51.0,6.530000000000001,13,0.1465467208357516,0.8316786904279223
204,51.0,5.530000000000001,14,0.08792803250145097,0.9308650187112762
205,51.0,4.530000000000001,15,0.02930934416715032,1.0
206,53.0,19.62,0,0.9138653511317469,0.7281482132962763
207,53.0,18.62,1,0.8552466627974462,0.739777291433372
208,53.0,17.62,2,0.7966279744631457,0.7173865555274865
209,53.0,16.62,3,0.7380092861288451,0.6904320356146202
210,53.0,15.620000000000001,4,0.6793905977945444,0.6455321674400116
211,53.0,14.620000000000001,5,0.6207719094602437,0.600285871293884
212,53.0,13.620000000000001,6,0.5621532211259431,0.46924368851944637
213,53.0,12.620000000000001,7,0.5035345327916425,0.3443089118119803
214,53.0,11.620000000000001,8,0.4449158444573418,0.367905618426213
215,53.0,10.620000000000001,9,0.3862971561230412,0.3900352309081318
216,53.0,9.620000000000001,10,0.32767846778874055,0.5263659758662318
217,53.0,8.620000000000001,11,0.26905977945443993,0.6144268895170328
218,53.0,7.620000000000001,12,0.21044109112013928,0.7156894982221231
219,53.0,6.620000000000001,13,0.15182240278583864,0.8000219283621735
220,53.0,5.620000000000001,14,0.09320371445153801,0.9028519163878925
221,53.0,4.620000000000001,15,0.03458502611723737,0.9847960740007895
222,55.0,19.67,0,0.916796285548462,0.7092083124950843
223,55.0,18.67,1,0.8581775972141613,0.6852488030161884
224,55.0,17.67,2,0.7995589088798607,0.6781911177212455
225,55.0,16.67,3,0.7409402205455601,0.6521303906322569
226,55.0,15.670000000000002,4,0.6823215322112595,0.6124500107013529
227,55.0,14.670000000000002,5,0.6237028438769588,0.5618369892068874
228,55.0,13.670000000000002,6,0.5650841555426582,0.4293079708212769
229,55.0,12.670000000000002,7,0.5064654672083575,0.33263186247600784
230,55.0,11.670000000000002,8,0.4478467788740569,0.3494417439830618
231,55.0,10.670000000000002,9,0.38922809053975627,0.3521841059280936
232,55.0,9.670000000000002,10,0.3306094022054556,0.4886155920845103
233,55.0,8.670000000000002,11,0.27199071387115503,0.5763582575897246
234,55.0,7.670000000000002,12,0.21337202553685436,0.6822939736385206
235,55.0,6.670000000000002,13,0.15475333720255371,0.7689453281985432
236,55.0,5.670000000000002,14,0.09613464886825307,0.8745324481075221
237,55.0,4.670000000000002,15,0.037515960533952446,0.9611285400463968
238,57.0,19.45,0,0.9039001741149157,0.7353309923567118
239,57.0,18.45,1,0.8452814857806151,0.7440028958708533
240,57.0,17.45,2,0.7866627974463145,0.7530629697227595
241,57.0,16.45,3,0.7280441091120138,0.6995006640740201
242,57.0,15.45,4,0.6694254207777132,0.6440474631729064
243,57.0,14.45,5,0.6108067324434125,0.5649988049833683
244,57.0,13.45,6,0.5521880441091119,0.453958576499687
245,57.0,12.45,7,0.49356935577481126,0.34292431732313067
246,57.0,11.45,8,0.43495066744051064,0.34756872336991373
247,57.0,10.45,9,0.37633197910620997,0.3853612948111441
248,57.0,9.45,10,0.31771329077190935,0.4574511413312151
249,57.0,8.45,11,0.2590946024376087,0.6395062502539497
250,57.0,7.449999999999999,12,0.20047591410330806,0.6558192178572035
251,57.0,6.449999999999999,13,0.14185722576900744,0.8452780433093646
252,57.0,5.449999999999999,14,0.08323853743470679,0.9420455982552276
253,57.0,4.449999999999999,15,0.02461984910040616,0.9420455982552276
254,59.0,19.03,0,0.8792803250145095,0.6104065759020508
255,59.0,18.03,1,0.8206616366802089,0.6297481995645803
256,59.0,17.03,2,0.7620429483459084,0.6308222282154174
257,59.0,16.03,3,0.7034242600116077,0.6036002564877895
258,59.0,15.030000000000001,4,0.644805571677307,0.5742244974192712
259,59.0,14.030000000000001,5,0.5861868833430064,0.5140468213995009
260,59.0,13.030000000000001,6,0.5275681950087058,0.4040516701646991
261,59.0,12.030000000000001,7,0.4689495066744051,0.29124981899160846
262,59.0,11.030000000000001,8,0.41033081834010443,0.2792078126670191
263,59.0,10.030000000000001,9,0.35171213000580387,0.4086669012241706
264,59.0,9.030000000000001,10,0.2930934416715032,0.46392037488477156
265,59.0,8.030000000000001,11,0.23447475333720255,0.618977602320957
266,59.0,7.030000000000001,12,0.17585606500290193,0.7163332065238955
267,59.0,6.030000000000001,13,0.11723737666860128,0.8374603914556192
268,59.0,5.030000000000001,14,0.05861868833430064,0.9277884875739256
269,59.0,4.030000000000001,15,0.0,0.9277884875739256
270,61.0,18.99,0,0.8769355774811374,0.518236767829969
271,61.0,17.99,1,0.8183168891468368,0.46645386430410785
272,61.0,16.99,2,0.7596982008125361,0.4759015228941486
273,61.0,15.989999999999998,3,0.7010795124782354,0.49178673905689996
274,61.0,14.989999999999998,4,0.6424608241439348,0.4866398653397655
275,61.0,13.989999999999998,5,0.5838421358096342,0.4456183475707227
276,61.0,12.989999999999998,6,0.5252234474753334,0.34165011966122427
277,61.0,11.989999999999998,7,0.4666047591410329,0.2506978881111841
278,61.0,10.989999999999998,8,0.40798607080673227,0.237413799258468
279,61.0,9.989999999999998,9,0.34936738247243165,0.362967694755227
280,61.0,8.989999999999998,10,0.29074869413813104,0.4720861136776494
281,61.0,7.989999999999998,11,0.23213000580383036,0.5873420122265246
282,61.0,6.989999999999998,12,0.17351131746952972,0.6939826617213803
283,61.0,5.989999999999998,13,0.1148926291352291,0.8222728411509934
284,61.0,4.989999999999998,14,0.05627394080092845,0.9172502380905478
285,63.0,19.2,0,0.8892455020313406,0.4342422525050356
286,63.0,18.2,1,0.8306268136970398,0.4314448668779267
287,63.0,17.2,2,0.7720081253627393,0.4277343495498891
288,63.0,16.2,3,0.7133894370284387,0.437959071423403
289,63.0,15.2,4,0.6547707486941381,0.43074409977223344
290,63.0,14.2,5,0.5961520603598374,0.39022948562658005
291,63.0,13.2,6,0.5375333720255367,0.3062422349692579
292,63.0,12.2,7,0.4789146836912361,0.22673829848483856
293,63.0,11.2,8,0.42029599535693546,0.22007902593611134
294,63.0,10.2,9,0.36167730702263484,0.36361246558548105
295,63.0,9.2,10,0.3030586186883342,0.4234706942880696
296,63.0,8.2,11,0.24443993035403355,0.5739464537639565
297,63.0,7.199999999999999,12,0.1858212420197329,0.684320017121402
298,63.0,6.199999999999999,13,0.1272025536854323,0.8170901231156028
299,63.0,5.199999999999999,14,0.06858386535113165,0.9135350772317951
